"","subID","Skill","Order.x","Condition","Occ","Order.y","Direction","Total","N_rt","N_corr"
"1","P01","Novice","L","Local Prime","Early Occlusion","1",0.40625,0.3125,0.781511859375,0.96875
"2","P01","Novice","L","Control","Early Occlusion","0",0.488888888888889,0.288888888888889,0,0
"3","P01","Novice","L","Control","Late Occlusion","0",0.577777777777778,0.244444444444444,0,0
"4","P01","Novice","L","Global Prime","Early Occlusion","2",0.517241379310345,0.241379310344828,0.815885044827586,0.931034482758621
"5","P01","Novice","L","Local Prime","Late Occlusion","1",0.604651162790698,0.372093023255814,0.917710758139535,0.953488372093023
"6","P01","Novice","L","Global Prime","Late Occlusion","2",0.6,0.333333333333333,0.934220615555556,0.977777777777778
"7","P02","Novice","G","Global Prime","Late Occlusion","1",0.622222222222222,0.333333333333333,0.666626577777788,0.977777777777778
"8","P02","Novice","G","Global Prime","Early Occlusion","1",0.644444444444444,0.466666666666667,0.678954815548948,1
"9","P02","Novice","G","Control","Late Occlusion","0",0.466666666666667,0.288888888888889,0,0
"10","P02","Novice","G","Control","Early Occlusion","0",0.511111111111111,0.333333333333333,0,0
"11","P02","Novice","G","Local Prime","Late Occlusion","2",0.6,0.355555555555556,0.788327000002998,0.955555555555556
"12","P02","Novice","G","Local Prime","Early Occlusion","2",0.488888888888889,0.266666666666667,0.793381228887787,0.977777777777778
"13","P03","Novice","L","Local Prime","Early Occlusion","1",0.666666666666667,0.422222222222222,0.701825255546201,0.977777777777778
"14","P03","Novice","L","Control","Late Occlusion","0",0.644444444444444,0.511111111111111,0,0
"15","P03","Novice","L","Local Prime","Late Occlusion","1",0.555555555555556,0.444444444444444,0.730923059983696,0.933333333333333
"16","P03","Novice","L","Global Prime","Early Occlusion","2",0.577777777777778,0.333333333333333,0.524187497794628,1
"17","P03","Novice","L","Control","Early Occlusion","0",0.6,0.377777777777778,0,0
"18","P03","Novice","L","Global Prime","Late Occlusion","2",0.688888888888889,0.577777777777778,0.575697531119092,1
"19","P04","Expert","G","Control","Late Occlusion","0",0.666666666666667,0.577777777777778,0,0
"20","P04","Expert","G","Local Prime","Early Occlusion","1",0.533333333333333,0.311111111111111,0.725077353332502,1
"21","P04","Expert","G","Local Prime","Late Occlusion","1",0.644444444444444,0.511111111111111,0.757079391110973,1
"22","P04","Expert","G","Control","Early Occlusion","0",0.488888888888889,0.355555555555556,0,0
"23","P04","Expert","G","Global Prime","Early Occlusion","2",0.511111111111111,0.288888888888889,0.694156224443254,1
"24","P04","Expert","G","Global Prime","Late Occlusion","2",0.622222222222222,0.577777777777778,0.73952488666853,1
"25","P05","Expert","G","Local Prime","Early Occlusion","1",0.555555555555556,0.377777777777778,0.995300931110978,0.488888888888889
"26","P05","Expert","G","Local Prime","Late Occlusion","1",0.711111111111111,0.6,0.910689215556097,0.577777777777778
"27","P05","Expert","G","Control","Early Occlusion","0",0.577777777777778,0.355555555555556,0,0
"28","P05","Expert","G","Control","Late Occlusion","0",0.8,0.755555555555556,0,0
"29","P05","Expert","G","Global Prime","Early Occlusion","2",0.622222222222222,0.444444444444444,0.819504406670522,0.533333333333333
"30","P05","Expert","G","Global Prime","Late Occlusion","2",0.622222222222222,0.488888888888889,0.748548019998189,0.488888888888889
"31","P06","Novice","L","Control","Late Occlusion","0",0.577777777777778,0.466666666666667,0,0
"32","P06","Novice","L","Control","Early Occlusion","0",0.444444444444444,0.377777777777778,0,0
"33","P06","Novice","L","Global Prime","Late Occlusion","1",0.711111111111111,0.622222222222222,0.592210693332729,0.911111111111111
"34","P06","Novice","L","Global Prime","Early Occlusion","1",0.577777777777778,0.355555555555556,0.573718773334339,1
"35","P06","Novice","L","Local Prime","Late Occlusion","2",0.622222222222222,0.488888888888889,0.740666002223346,1
"36","P06","Novice","L","Local Prime","Early Occlusion","2",0.577777777777778,0.288888888888889,0.752116542223505,1
"37","P07","Expert","L","Local Prime","Early Occlusion","1",0.6,0.355555555555556,0.853656671112145,0.955555555555556
"38","P07","Expert","L","Global Prime","Late Occlusion","2",0.688888888888889,0.622222222222222,0.872708822221547,1
"39","P07","Expert","L","Control","Early Occlusion","0",0.644444444444444,0.333333333333333,0,0
"40","P07","Expert","L","Control","Late Occlusion","0",0.755555555555556,0.644444444444444,0,0
"41","P07","Expert","L","Local Prime","Late Occlusion","1",0.666666666666667,0.511111111111111,0.816143424442918,0.955555555555556
"42","P07","Expert","L","Global Prime","Early Occlusion","2",0.711111111111111,0.444444444444444,0.836009811109398,1
"43","P08","Expert","L","Control","Late Occlusion","0",0.755555555555556,0.755555555555556,0,0
"44","P08","Expert","L","Control","Early Occlusion","0",0.555555555555556,0.333333333333333,0,0
"45","P08","Expert","L","Local Prime","Late Occlusion","2",0.733333333333333,0.666666666666667,0.918793633331855,1
"46","P08","Expert","L","Local Prime","Early Occlusion","2",0.577777777777778,0.488888888888889,0.847321575548914,1
"47","P08","Expert","L","Global Prime","Late Occlusion","1",0.755555555555556,0.688888888888889,0.805677528888918,1
"48","P08","Expert","L","Global Prime","Early Occlusion","1",0.622222222222222,0.4,0.830985464448006,1
"49","P10","Novice","L","Global Prime","Early Occlusion","1",0.533333333333333,0.288888888888889,0.713861422227799,0.977777777777778
"50","P10","Novice","L","Global Prime","Late Occlusion","1",0.6,0.488888888888889,0.732486895570118,0.888888888888889
"51","P10","Novice","L","Local Prime","Late Occlusion","2",0.644444444444444,0.511111111111111,0.905072355567892,1
"52","P10","Novice","L","Local Prime","Early Occlusion","2",0.577777777777778,0.377777777777778,0.849445586661912,0.977777777777778
"53","P10","Novice","L","Control","Early Occlusion","0",0.711111111111111,0.466666666666667,0,0
"54","P10","Novice","L","Control","Late Occlusion","0",0.6,0.466666666666667,0,0
"55","P11","Expert","G","Control","Late Occlusion","0",0.577777777777778,0.488888888888889,0,0
"56","P11","Expert","G","Global Prime","Late Occlusion","1",0.577777777777778,0.444444444444444,0.696289493329823,0.977777777777778
"57","P11","Expert","G","Global Prime","Early Occlusion","1",0.644444444444444,0.488888888888889,0.667974013333312,0.977777777777778
"58","P11","Expert","G","Local Prime","Early Occlusion","2",0.622222222222222,0.4,1.08011548888889,0.866666666666667
"59","P11","Expert","G","Control","Early Occlusion","0",0.711111111111111,0.533333333333333,0,0
"60","P11","Expert","G","Local Prime","Late Occlusion","2",0.533333333333333,0.422222222222222,1.01198460444444,0.844444444444444
"61","P12","Novice","L","Local Prime","Early Occlusion","1",0.555555555555556,0.4,1.18683936666025,1
"62","P12","Novice","L","Local Prime","Late Occlusion","1",0.622222222222222,0.511111111111111,0.893006502223822,1
"63","P12","Novice","L","Control","Late Occlusion","0",0.577777777777778,0.466666666666667,0,0
"64","P12","Novice","L","Control","Early Occlusion","0",0.622222222222222,0.422222222222222,0,0
"65","P12","Novice","L","Global Prime","Early Occlusion","2",0.688888888888889,0.511111111111111,0.852065644446864,1
"66","P12","Novice","L","Global Prime","Late Occlusion","2",0.666666666666667,0.511111111111111,0.796566586662084,0.977777777777778
"67","P13","Expert","L","Control","Early Occlusion","0",0.577777777777778,0.355555555555556,0,0
"68","P13","Expert","L","Global Prime","Early Occlusion","2",0.511111111111111,0.333333333333333,1.14315690889748,0.977777777777778
"69","P13","Expert","L","Local Prime","Late Occlusion","1",0.644444444444444,0.511111111111111,1.20545307777874,0.977777777777778
"70","P13","Expert","L","Local Prime","Early Occlusion","1",0.577777777777778,0.444444444444444,1.15994215555127,0.955555555555556
"71","P13","Expert","L","Global Prime","Late Occlusion","2",0.755555555555556,0.688888888888889,1.22956904667792,1
"72","P13","Expert","L","Control","Late Occlusion","0",0.711111111111111,0.555555555555556,0,0
"73","P14","Novice","G","Control","Early Occlusion","0",0.511111111111111,0.311111111111111,0,0
"74","P14","Novice","G","Global Prime","Late Occlusion","1",0.755555555555556,0.555555555555556,0.960854724442793,0.733333333333333
"75","P14","Novice","G","Local Prime","Early Occlusion","2",0.444444444444444,0.288888888888889,0.747493228890623,0.977777777777778
"76","P14","Novice","G","Global Prime","Early Occlusion","1",0.377777777777778,0.333333333333333,1.00251945333504,0.755555555555556
"77","P14","Novice","G","Control","Late Occlusion","0",0.466666666666667,0.4,0,0
"78","P14","Novice","G","Local Prime","Late Occlusion","2",0.755555555555556,0.533333333333333,0.776772686665774,0.977777777777778
"79","P15","Expert","L","Global Prime","Late Occlusion","2",0.8,0.733333333333333,0.804451295542013,0.977777777777778
"80","P15","Expert","L","Global Prime","Early Occlusion","2",0.711111111111111,0.466666666666667,0.69707909111037,1
"81","P15","Expert","L","Control","Early Occlusion","0",0.711111111111111,0.466666666666667,0,0
"82","P15","Expert","L","Local Prime","Late Occlusion","1",0.777777777777778,0.666666666666667,0.781807228889213,1
"83","P15","Expert","L","Local Prime","Early Occlusion","1",0.666666666666667,0.444444444444444,0.742102886676892,0.955555555555556
"84","P15","Expert","L","Control","Late Occlusion","0",0.755555555555556,0.711111111111111,0,0
"85","P16","Novice","G","Control","Early Occlusion","0",0.711111111111111,0.466666666666667,0,0
"86","P16","Novice","G","Control","Late Occlusion","0",0.577777777777778,0.355555555555556,0,0
"87","P16","Novice","G","Global Prime","Late Occlusion","1",0.733333333333333,0.511111111111111,0.579038702236075,0.955555555555556
"88","P16","Novice","G","Global Prime","Early Occlusion","1",0.711111111111111,0.4,0.600186699991011,1
"89","P16","Novice","G","Local Prime","Early Occlusion","2",0.6,0.4,0.736607862196656,0.977777777777778
"90","P16","Novice","G","Local Prime","Late Occlusion","2",0.755555555555556,0.577777777777778,0.738166379985503,0.977777777777778
"91","P17","Novice","G","Local Prime","Late Occlusion","2",0.666666666666667,0.444444444444444,0.765601106660648,1
"92","P17","Novice","G","Local Prime","Early Occlusion","2",0.622222222222222,0.4,0.706774020003569,1
"93","P17","Novice","G","Global Prime","Early Occlusion","1",0.688888888888889,0.4,0.601476253325947,0.977777777777778
"94","P17","Novice","G","Control","Early Occlusion","0",0.711111111111111,0.4,0,0
"95","P17","Novice","G","Global Prime","Late Occlusion","1",0.644444444444444,0.422222222222222,0.599835366688462,1
"96","P17","Novice","G","Control","Late Occlusion","0",0.577777777777778,0.377777777777778,0,0
"97","P18","Novice","L","Local Prime","Early Occlusion","1",0.488888888888889,0.377777777777778,0.605973822225092,0.977777777777778
"98","P18","Novice","L","Control","Late Occlusion","0",0.644444444444444,0.333333333333333,0,0
"99","P18","Novice","L","Global Prime","Early Occlusion","2",0.644444444444444,0.466666666666667,0.567301917774603,0.955555555555556
"100","P18","Novice","L","Global Prime","Late Occlusion","2",0.733333333333333,0.555555555555556,0.588775804457772,1
"101","P18","Novice","L","Control","Early Occlusion","0",0.511111111111111,0.222222222222222,0,0
"102","P18","Novice","L","Local Prime","Late Occlusion","1",0.755555555555556,0.533333333333333,0.678376073333331,0.933333333333333
"103","P19","Novice","G","Local Prime","Early Occlusion","2",0.622222222222222,0.355555555555556,1.17422362666888,1
"104","P19","Novice","G","Local Prime","Late Occlusion","2",0.711111111111111,0.355555555555556,1.23139276445015,0.955555555555556
"105","P19","Novice","G","Control","Late Occlusion","0",0.577777777777778,0.244444444444444,0,0
"106","P19","Novice","G","Control","Early Occlusion","0",0.711111111111111,0.333333333333333,0,0
"107","P20","Expert","L","Control","Late Occlusion","0",0.844444444444444,0.822222222222222,0,0
"108","P20","Expert","L","Control","Early Occlusion","0",0.622222222222222,0.333333333333333,0,0
"109","P20","Expert","L","Local Prime","Late Occlusion","1",0.777777777777778,0.711111111111111,0.800988624446715,0.977777777777778
"110","P20","Expert","L","Local Prime","Early Occlusion","1",0.577777777777778,0.444444444444444,0.782257246665863,0.888888888888889
"111","P20","Expert","L","Global Prime","Late Occlusion","2",0.777777777777778,0.644444444444444,0.771372240010856,0.955555555555556
"112","P20","Expert","L","Global Prime","Early Occlusion","2",0.577777777777778,0.333333333333333,0.746928331095518,0.955555555555556
"113","P21","Expert","G","Control","Late Occlusion","0",0.711111111111111,0.6,0,0
"114","P21","Expert","G","Local Prime","Early Occlusion","2",0.555555555555556,0.422222222222222,1.09732915999678,0.977777777777778
"115","P21","Expert","G","Local Prime","Late Occlusion","2",0.688888888888889,0.577777777777778,1.15508694889852,0.977777777777778
"116","P21","Expert","G","Global Prime","Early Occlusion","1",0.644444444444444,0.555555555555556,0.963651315552286,0.977777777777778
"117","P21","Expert","G","Global Prime","Late Occlusion","1",0.688888888888889,0.555555555555556,0.966425224434998,1
"118","P21","Expert","G","Control","Early Occlusion","0",0.6,0.4,0,0
"119","P22","Expert","G","Local Prime","Early Occlusion","2",0.555555555555556,0.333333333333333,0.728901995555528,0.955555555555556
"120","P22","Expert","G","Local Prime","Late Occlusion","2",0.688888888888889,0.577777777777778,0.772737959999955,0.955555555555556
"121","P22","Expert","G","Global Prime","Late Occlusion","1",0.777777777777778,0.666666666666667,0.563171353333347,0.955555555555556
"122","P22","Expert","G","Global Prime","Early Occlusion","1",0.688888888888889,0.355555555555556,0.578159939999998,1
"123","P22","Expert","G","Control","Early Occlusion","0",0.711111111111111,0.355555555555556,0,0
"124","P22","Expert","G","Control","Late Occlusion","0",0.711111111111111,0.577777777777778,0,0
"125","P23","Expert","G","Control","Late Occlusion","0",0.688888888888889,0.577777777777778,0,0
"126","P23","Expert","G","Global Prime","Early Occlusion","1",0.622222222222222,0.444444444444444,0.688177486666569,0.977777777777778
"127","P23","Expert","G","Global Prime","Late Occlusion","1",0.622222222222222,0.533333333333333,0.886711368889276,0.933333333333333
"128","P23","Expert","G","Control","Early Occlusion","0",0.6,0.4,0,0
"129","P23","Expert","G","Local Prime","Early Occlusion","2",0.633333333333333,0.5,1.18850078666704,0.766666666666667
"130","P23","Expert","G","Local Prime","Late Occlusion","2",0.5,0.366666666666667,1.66659769333322,0.666666666666667
"131","P24","Novice","G","Local Prime","Early Occlusion","2",0.488888888888889,0.333333333333333,0.791274508893386,0.933333333333333
"132","P24","Novice","G","Local Prime","Late Occlusion","2",0.577777777777778,0.577777777777778,0.805497575561619,1
"133","P24","Novice","G","Global Prime","Early Occlusion","1",0.555555555555556,0.311111111111111,0.862082617781642,0.977777777777778
"134","P24","Novice","G","Control","Late Occlusion","0",0.488888888888889,0.377777777777778,0,0
"135","P24","Novice","G","Global Prime","Late Occlusion","1",0.533333333333333,0.466666666666667,0.950032035552431,0.888888888888889
"136","P24","Novice","G","Control","Early Occlusion","0",0.511111111111111,0.288888888888889,0,0
"137","P25","Expert","G","Global Prime","Early Occlusion","1",0.577777777777778,0.422222222222222,0.76853800889027,0.977777777777778
"138","P25","Expert","G","Control","Early Occlusion","0",0.688888888888889,0.511111111111111,0,0
"139","P25","Expert","G","Global Prime","Late Occlusion","1",0.711111111111111,0.622222222222222,0.764337573338869,0.955555555555556
"140","P25","Expert","G","Control","Late Occlusion","0",0.777777777777778,0.711111111111111,0,0
"141","P25","Expert","G","Local Prime","Late Occlusion","2",0.688888888888889,0.577777777777778,0.941136266667551,0.933333333333333
"142","P25","Expert","G","Local Prime","Early Occlusion","2",0.6,0.422222222222222,0.903255282223432,0.977777777777778
"143","P26","Novice","L","Global Prime","Early Occlusion","2",0.4,0.311111111111111,1.40360303333333,0.977777777777778
"144","P26","Novice","L","Global Prime","Late Occlusion","2",0.409090909090909,0.318181818181818,0.997018559090909,1
"145","P26","Novice","L","Local Prime","Late Occlusion","1",0.340909090909091,0.272727272727273,1.07379116590909,1
"146","P26","Novice","L","Control","Early Occlusion","0",0.422222222222222,0.333333333333333,0,0
"147","P26","Novice","L","Local Prime","Early Occlusion","1",0.422222222222222,0.333333333333333,1.05094160444444,0.977777777777778
"148","P26","Novice","L","Control","Late Occlusion","0",0.533333333333333,0.444444444444444,0,0
"149","P27","Novice","G","Control","Early Occlusion","0",0.644444444444444,0.444444444444444,0,0
"150","P27","Novice","G","Local Prime","Early Occlusion","2",0.511111111111111,0.333333333333333,0.736353779995504,1
"151","P27","Novice","G","Control","Late Occlusion","0",0.755555555555556,0.644444444444444,0,0
"152","P27","Novice","G","Global Prime","Late Occlusion","1",0.755555555555556,0.622222222222222,0.648762566668706,1
"153","P27","Novice","G","Global Prime","Early Occlusion","1",0.666666666666667,0.466666666666667,0.622589466674253,1
"154","P27","Novice","G","Local Prime","Late Occlusion","2",0.533333333333333,0.533333333333333,0.77886381777676,1
"155","P28","Novice","G","Local Prime","Early Occlusion","2",0.622222222222222,0.333333333333333,0.773544642228323,1
"156","P28","Novice","G","Local Prime","Late Occlusion","2",0.733333333333333,0.533333333333333,0.821511322231446,1
"157","P28","Novice","G","Control","Late Occlusion","0",0.555555555555556,0.422222222222222,0,0
"158","P28","Novice","G","Global Prime","Late Occlusion","1",0.8,0.6,0.846664151104374,1
"159","P28","Novice","G","Global Prime","Early Occlusion","1",0.577777777777778,0.288888888888889,0.750666184436219,0.955555555555556
"160","P28","Novice","G","Control","Early Occlusion","0",0.622222222222222,0.355555555555556,0,0
"161","P29","Expert","G","Global Prime","Early Occlusion","1",0.644444444444444,0.466666666666667,0.655869391120763,1
"162","P29","Expert","G","Local Prime","Early Occlusion","2",0.622222222222222,0.377777777777778,0.660822242250045,1
"163","P29","Expert","G","Control","Early Occlusion","0",0.622222222222222,0.4,0,0
"164","P29","Expert","G","Global Prime","Late Occlusion","1",0.711111111111111,0.622222222222222,0.606360891094017,0.977777777777778
"165","P29","Expert","G","Control","Late Occlusion","0",0.688888888888889,0.622222222222222,0,0
"166","P29","Expert","G","Local Prime","Late Occlusion","2",0.622222222222222,0.622222222222222,0.743591575557366,0.977777777777778
"167","P30","Expert","L","Local Prime","Early Occlusion","1",0.577777777777778,0.288888888888889,1.01588757778518,0.977777777777778
"168","P30","Expert","L","Control","Early Occlusion","0",0.6,0.333333333333333,0,0
"169","P30","Expert","L","Global Prime","Late Occlusion","2",0.844444444444444,0.711111111111111,0.805174904446014,1
"170","P30","Expert","L","Control","Late Occlusion","0",0.8,0.711111111111111,0,0
"171","P30","Expert","L","Global Prime","Early Occlusion","2",0.666666666666667,0.4,0.839412102237758,0.977777777777778
"172","P30","Expert","L","Local Prime","Late Occlusion","1",0.733333333333333,0.555555555555556,1.2431679777801,0.977777777777778
"173","P31","Expert","L","Control","Late Occlusion","0",0.577777777777778,0.4,0,0
"174","P31","Expert","L","Control","Early Occlusion","0",0.6,0.377777777777778,0,0
"175","P31","Expert","L","Local Prime","Late Occlusion","1",0.688888888888889,0.533333333333333,0.847423462238577,1
"176","P31","Expert","L","Local Prime","Early Occlusion","1",0.6,0.422222222222222,0.794050486660045,1
"177","P31","Expert","L","Global Prime","Late Occlusion","2",0.555555555555556,0.422222222222222,0.635209526670062,1
"178","P31","Expert","L","Global Prime","Early Occlusion","2",0.622222222222222,0.377777777777778,0.581188282236043,0.977777777777778
"179","P32","Novice","L","Control","Early Occlusion","0",0.755555555555556,0.355555555555556,0,0
"180","P32","Novice","L","Local Prime","Early Occlusion","1",0.666666666666667,0.355555555555556,0.693257999999656,1
"181","P32","Novice","L","Global Prime","Late Occlusion","2",0.666666666666667,0.466666666666667,0.597334204464116,1
"182","P32","Novice","L","Local Prime","Late Occlusion","1",0.688888888888889,0.422222222222222,0.719745919993147,1
"183","P32","Novice","L","Global Prime","Early Occlusion","2",0.711111111111111,0.466666666666667,0.59744277555599,1
"184","P32","Novice","L","Control","Late Occlusion","0",0.644444444444444,0.466666666666667,0,0
"185","P33","Expert","L","Control","Late Occlusion","0",0.688888888888889,0.577777777777778,0,0
"186","P33","Expert","L","Control","Early Occlusion","0",0.555555555555556,0.355555555555556,0,0
"187","P33","Expert","L","Global Prime","Late Occlusion","2",0.711111111111111,0.555555555555556,1.11308581997744,1
"188","P33","Expert","L","Global Prime","Early Occlusion","2",0.577777777777778,0.444444444444444,0.861756446719584,1
"189","P33","Expert","L","Local Prime","Late Occlusion","1",0.688888888888889,0.577777777777778,1.24829874667856,1
"190","P33","Expert","L","Local Prime","Early Occlusion","1",0.6,0.4,1.11736912444855,1
